Week No,Curr_Rank,Prev_Rank,Operator,Alliance,Curr_Total_TEU,Prev_Total_TEU,Var_Total_TEU,Curr_Total_Ships,Prev_Total_Ships,Var_Total_Ships,Curr_Owned_TEU,Prev_Owned_TEU,Var_Owned_TEU,Curr_Owned_Ships,Prev_Owned_Ships,Var_Owned_Ships,Curr_Chartered_TEU,Prev_Chartered_TEU,Var_Chartered_TEU,Curr_Chartered_Ships,Prev_Chartered_Ships,Var_Chartered_Ships,Curr_Orderbook_TEU,Prev_Orderbook_TEU,Var_Orderbook_TEU,Curr_Orderbook_Ships,Prev_Orderbook_Ships,Var_Orderbook_Ships
17.0,35.0,37.0,Akkon Lines,,50515,48067,2448,34,34,0,1776,1776,0,2,2,0,48739,46291,2448,32,32,0,0,0,0,0,0,0
17.0,36.0,33.0,Sea Lead Shipping,,50328,56406,-6078,13,14,-1,7157,7157,0,3,3,0,43171,49249,-6078,10,11,-1,14330,14330,0,2,2,0
17.0,37.0,44.0,China United Lines (CULines),,49535,36699,12836,25,23,2,18177,18177,0,10,10,0,31358,18522,12836,15,13,2,5866,5866,0,2,2,0
17.0,38.0,34.0,FESCO,,46889,51831,-4942,33,35,-2,34783,37254,-2471,23,24,-1,12106,14577,-2471,10,11,-1,0,0,0,0,0,0
17.0,39.0,38.0,Seaboard Marine,,46131,46131,0,22,22,0,34347,34347,0,14,14,0,11784,11784,0,8,8,0,6082,6082,0,3,3,0
17.0,40.0,39.0,Samudera,,43647,43647,0,32,32,0,16140,16140,0,16,16,0,27507,27507,0,16,16,0,0,0,0,0,0,0
17.0,41.0,40.0,Tailwind Shipping Lines,,42578,42578,0,11,11,0,5527,5527,0,1,1,0,37051,37051,0,10,10,0,42000,42000,0,5,5,0
17.0,42.0,41.0,Meratus,,41602,41602,0,62,62,0,41602,41602,0,62,62,0,0,0,0,0,0,0,8290,8290,0,12,12,0
17.0,43.0,42.0,Namsung Shipping,,39786,39786,0,30,30,0,37339,37339,0,27,27,0,2447,2447,0,3,3,0,12460,12460,0,4,4,0
17.0,44.0,43.0,Tanto Intim Line,,37766,37766,0,56,56,0,37766,37766,0,56,56,0,0,0,0,0,0,0,0,0,0,0,0,0
17.0,45.0,45.0,Salam Pacific Indonesia Lines,,31010,31010,0,44,44,0,31010,31010,0,44,44,0,0,0,0,0,0,0,0,0,0,0,0,0
17.0,46.0,46.0,Great White Fleet,,27334,27334,0,13,13,0,14740,14740,0,6,6,0,12594,12594,0,7,7,0,0,0,0,0,0,0
17.0,47.0,47.0,Sea Legend Shipping,,25189,25189,0,11,11,0,4890,4890,0,1,1,0,20299,20299,0,10,10,0,0,0,0,0,0,0
17.0,48.0,48.0,Linea Messina,,24820,24820,0,9,9,0,22358,22358,0,5,5,0,2462,2462,0,4,4,0,0,0,0,0,0,0
17.0,49.0,49.0,Hainan Yangpu Newnew Shipping,,21914,21914,0,8,8,0,18250,18250,0,6,6,0,3664,3664,0,2,2,0,9620,0,9620,2,0,2
17.0,50.0,50.0,Dole Ocean Liner,,21150,21150,0,16,16,0,20610,20610,0,14,14,0,540,540,0,2,2,0,0,0,0,0,0,0
17.0,51.0,51.0,Chun Kyung (CK Line),,20007,20007,0,18,18,0,13236,13236,0,9,9,0,6771,6771,0,9,9,0,2200,2200,0,2,2,0
17.0,52.0,52.0,Kawa Shipping,,19757,19757,0,11,11,0,0,0,0,0,0,0,19757,19757,0,11,11,0,14400,14400,0,3,3,0
17.0,53.0,53.0,Asean Seas Line,,18728,18728,0,13,13,0,3562,3562,0,2,2,0,15166,15166,0,11,11,0,0,0,0,0,0,0
17.0,54.0,54.0,Crowley Liner Services,,18470,18470,0,15,15,0,10120,10120,0,8,8,0,8350,8350,0,7,7,0,0,0,0,0,0,0
